חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה,
8/14/2019 21:13:13,סטודנט/ית,אוניברסיטת אריאל,מוסד ממשלתי,ניהול פרוייקטים/ PMO,,0-1,9000,שעתי,קרן השתלמות,לא,
8/14/2019 21:28:01,סטודנט/ית,אוניברסיטת אריאל,חברה מתפתחת בתחום ייצור,QA (Software) - ידני,,0-1,4500,שעתי,,לא,
8/14/2019 23:00:22,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלביט מערכות-אלאופ,0-1,40,שעתי,ארוחת בוקר וצהריים כלול חינם,לא,
8/15/2019 16:06:49,בוגר/ת,טכניון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Ncr,0-1,10000,גלובלי,,לא,
8/15/2019 23:30:25,סטודנט/ית,אוניברסיטת אריאל,שיווק והפצה,ניתוח נתונים - BI/Data analyst,ראלי וייס,0-1,5000,גלובלי,,לא,
8/15/2019 23:45:00,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,7500,שעתי,,לא,
8/19/2019 15:13:24,סטודנט/ית,מכללת סמי שמעון,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst, תכנות: Frontend/Backend/Fullstack",,0-1,10,שעתי,,,
8/22/2019 19:13:33,בוגר/ת,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,5-7,19000,גלובלי,קרן השתלמות,לא,
8/22/2019 19:16:32,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,טבע,0-1,33,שעתי,נסיעות ,לא,
8/22/2019 19:17:48,בוגר/ת,מרכז אקדמי לב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",ICL,5-7,10000,גלובלי,השכר כולל את הנסיעות והשעות הנוספות על המשרה המלאה.,לא,
8/22/2019 19:25:12,בוגר/ת,מכללת אפקה,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",בזק,2-4,19000,גלובלי,,לא,
8/22/2019 19:39:28,בוגר/ת,מכללת סמי שמעון,צהל,"ניתוח נתונים - BI/Data analyst, תפעול וייצור (תפ""י), ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",מבט לנגב,2-4,13000,גלובלי,,לא,
8/22/2019 19:49:53,סטודנט/ית,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י), פלנר",.,0-1,45,שעתי,קרן השתלמות מהשנה הבאה,לא,
8/22/2019 19:51:19,בוגר/ת,בן גוריון,ייעוץ,הנדסת ארגון ושיטות,,5-7,20000,גלובלי,קרן השתלמות,לא,
8/22/2019 19:55:52,סטודנט/ית,מכללת סמי שמעון,מוסד ממשלתי,הנדסת ארגון ושיטות,,0-1,35,שעתי,,לא,
8/22/2019 20:28:16,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,8-10,15000,שעתי,קרן הש3,לא,
8/22/2019 20:48:43,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"הנדסת ארגון ושיטות, תפעול וייצור (תפ""י), לוגיסטיקה",Intel,2-4,10700,שעתי,"בונוסים, הטבות באשראי, קרן השתלמות, חדר כושר צמוד",לא,
8/22/2019 22:11:41,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Elbit,0-1,60,שעתי,,לא,
8/22/2019 22:12:07,בוגר/ת,בן גוריון,חברת ייעוץ,הנדסת ארגון ושיטות,,0-1,15000,גלובלי,,לא,
8/22/2019 23:15:10,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",אלתא,2-4,13000,שעתי,קרן השתלמות,לא,
8/23/2019 9:38:41,בוגר/ת,הקריה להנדסה בתל אביב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",ינון מאפים,0-1,8800,שעתי,לא,לא,
8/23/2019 11:50:16,בוגר/ת,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),Rpa,Hms,0-1,14000,גלובלי,,לא,
8/25/2019 14:45:38,סטודנט/ית,בראודה,מוסד ממשלתי,עוזרת במטלות השוטפות,,0-1,3720,שעתי,"קרן השתלמות , פנסיה ",לא,
8/25/2019 14:48:51,סטודנט/ית,טכניון,הייטק (סטארט-אפים וחברות גדולות),"Devops, לא בדיוק DevOps אבל כן כתיבת סקריפטים בעיקר",אינטל,0-1,56,שעתי,,לא,
8/25/2019 14:53:35,סטודנט/ית,המרכז האקדמי לב,מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,,0-1,4000,שעתי,שכר ממשלתי קבוע לסטודנטים,לא,
8/25/2019 16:25:40,בוגר/ת,עמק יזרעאל,מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,,0-1,1100,גלובלי,"משרה ללא שעות נוספות, קרן השתלמות, 19 ימי חופשה",לא,
8/25/2019 16:29:58,בוגר/ת,מכללת סמי שמעון,חברת אופנה,יישום מערכות מידע,CASTRO,0-1,8500,גלובלי,,לא,
8/25/2019 16:36:30,סטודנט/ית,מכללת אפקה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,0-1,35,שעתי,,לא,
8/25/2019 17:19:32,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,16500,גלובלי,,לא,
8/25/2019 17:36:23,בוגר/ת,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,Elal,0-1,12800,גלובלי,"משכורת 13, קרן השתלמות",לא,
8/25/2019 18:22:44,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Elbit ,0-1,35,שעתי,,לא,
8/28/2019 12:12:25,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",הנדסת ארגון ושיטות,Maytronucs,0-1,40,שעתי,,לא,
9/4/2019 15:21:23,סטודנט/ית,טכניון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",רפאל,0-1,45,שעתי,,לא,
9/4/2019 21:37:44,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Hanson,0-1,11000,שעתי,,לא,
9/4/2019 21:44:03,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)",לא עובד,ניהול פרוייקטים/ PMO,,0-1,2000,שעתי,,לא,
9/4/2019 22:14:30,בוגר/ת,טכניון,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,10+,35000,גלובלי,,כן,
