חותמת זמן,מצב לימודים,מוסד לימודים,סיווג מקום עבודה,תחום עיסוק - אפשר לבחור שילוב של עיסוקים,שם חברה (לחברות גלובליות באנגלית/חברות ישראליות בעברית),שנות ניסיון,"שכר (בש""ח) - ברוטו!",שכר שעתי/גלובלי,"הערות: תנאים (משכורת 13, קרן השתלמות וכו') וכל דבר שכדאי לציין",קבלת רכב מהעבודה,
11/22/2020 21:43:34,בוגר/ת,אוניברסיטת אריאל,בית חולים מאיר,אנליסט,בית חולים מאיר,2-4,9000,גלובלי,,לא,
11/26/2020 11:37:56,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",מוסד ממשלתי,ניתוח נתונים - BI/Data analyst,גב מערכות,0-1,12000,גלובלי,"קרן השתלמות, פנסיה, ביטוח בריאות חינם",לא,
12/9/2020 23:01:41,בוגר/ת,אוניברסיטת אריאל,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,בנק,0-1,11000,גלובלי,,לא,
1/12/2021 9:07:36,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,17000,גלובלי,,לא,
1/12/2021 9:08:03,בוגר/ת,אוניברסיטת אריאל,עמותה,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",אלומה,0-1,10000,גלובלי,קרן השתלמות,לא,
1/12/2021 9:09:45,בוגר/ת,HIT מכון טכנלוגי,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,10500,גלובלי,קרן השתלמות,לא,
1/12/2021 9:15:16,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Leadspace,2-4,16000,גלובלי,,לא,
1/12/2021 9:27:15,בוגר/ת,עזריאלי,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",,0-1,10300,שעתי,,לא,
1/12/2021 9:27:53,סטודנט/ית,מכללת סמי שמעון,הייטק (סטארט-אפים וחברות גדולות),QA (Software) - ידני,Britannica knowledge systems,0-1,12000,שעתי,אין ,לא,
1/12/2021 9:38:48,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),מיישם SFMC,יעל תוכנה,0-1,13600,גלובלי,נותנים לי 624 שקל נסיעות יש קרן השתלמות ופנסיה,לא,
1/12/2021 10:03:06,בוגר/ת,"או""פ (אוניברסיטה פתוחה)",בית תוכנה,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,15000,גלובלי,"הרבה נסיעות ללקוחות ברחבי הארץ אז תשלום נסיעות כלול בברוטו, קרן השתלמות",לא,
1/12/2021 10:25:40,בוגר/ת,מכללת סמי שמעון,לוגיסטיקה,הנדסת ארגון ושיטות,,2-4,11500,גלובלי,,לא,
1/12/2021 12:23:31,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",תעשייה אווירית,0-1,54,שעתי,"שכר סטודנט מצטיין (ממוצע מעל 85) , שנה שלישית בתואר.",לא,
1/12/2021 14:25:33,בוגר/ת,"האקדמית ת""א יפו",הייטק (סטארט-אפים וחברות גדולות),"תכנות: Frontend/Backend/Fullstack, Devops",Microsoft,10+,47594,גלובלי,"קרן השתלמות ניתן להפריש מעבר לתקרה עדיין 7.5% מהמעסיק בתוספת 2.5% מהעובד, אני בוחר אם ההפרש הולך לקרן השתלמות עם מס רווחי הון רגיל או לברוטו שלי. החזר הוצאות שיניים 1200 בשנה, החזר הוצאות ספורט 1000 בשנה, ביטוח בריאות פרטי עם 85% השתתפות למומחים כולל פרטיים, 23 ימי חופש בשנה",לא,
1/12/2021 20:32:41,סטודנט/ית,רופין,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,40,שעתי,,,
1/12/2021 20:32:44,בוגר/ת,רופין,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,8500,גלובלי,,לא,
1/13/2021 1:19:38,בוגר/ת,בן גוריון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,0-1,12000,גלובלי,,לא,
1/26/2021 18:42:43,סטודנט/ית,בן גוריון,קוקה קולה,הנדסת ארגון ושיטות,קוקה קולה,0-1,12000,גלובלי,"משכורת 13, קרן השתלמות",,
1/31/2021 15:13:48,סטודנט/ית,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",QA (Software) - ידני,,2-4,10000,גלובלי,,לא,
1/31/2021 16:29:30,בוגר/ת,אוניברסיטת תל אביב,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"מדעי נתונים - Data science, Data engineering",מקס,2-4,17000,גלובלי,,לא,
1/31/2021 17:04:04,בוגר/ת,אוניברסיטת תל אביב,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניהול פרוייקטים/ PMO, ניתוח נתונים - BI/Data analyst",,8-10,22000,גלובלי,"קרן השתלמות, החזר ארוחות",לא,
2/17/2021 23:28:32,סטודנט/ית,עזריאלי המכללה להנדסה,מוסד ממשלתי,"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע, QA (Software) - ידני",,0-1,10000,גלובלי,,לא,
4/24/2021 14:10:04,בוגר/ת,מכללת סמי שמעון,לואוטק,ניהול פרויקטים מערכות מידע,,2-4,18,גלובלי,קרן השתלמות,לא,
5/21/2021 10:35:11,בוגר/ת,מכללת שנקר,אנרגיה מתחדשת ,רכש,,2-4,15000,גלובלי,,לא,
5/21/2021 10:35:32,סטודנט/ית,מכללת סמי שמעון,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","הנדסת ארגון ושיטות, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,2-4,10000,שעתי,,לא,
5/21/2021 10:35:36,סטודנט/ית,רופין,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,45,שעתי,,לא,
5/21/2021 10:36:12,בוגר/ת,אוניברסיטת אריאל,חברת בניה,ניהול פרוייקטים/ PMO,,2-4,15500,גלובלי,קרן השתלמות ,לא,
5/21/2021 10:36:40,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,סייבר,0-1,70,שעתי,"קרןקרן השתלמות, ביטוח רפואי, תן-ביס, תשלום על חשבון אינטרנט בבית",לא,
5/21/2021 10:39:31,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),הנדסת ארגון ושיטות,,0-1,14500,גלובלי,,לא,
5/21/2021 10:39:43,בוגר/ת,המרכז האקדמי רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Prodalim Group,5-7,17000,גלובלי,"קרן השתלמות, בונוס שנתי",לא,
5/21/2021 10:40:28,בוגר/ת,רופין,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,,5-7,9600,שעתי,,לא,
5/21/2021 10:50:50,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),NOC,,0-1,45,שעתי,כלום,לא,
5/21/2021 10:55:15,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),רכש (מחלקת Production),סטארטאפ 30-40 עובדים,0-1,60,שעתי,"תן ביס 30 ליום, חניה חינם בת״א (לא מובן מאליו לדעתי חח)",לא,
5/21/2021 11:32:45,בוגר/ת,אוניברסיטת אריאל,קמעונאות,ניתוח נתונים - BI/Data analyst,סלטי שמיר,0-1,9500,גלובלי,,לא,
5/21/2021 11:43:13,בוגר/ת,בן גוריון,הייטק (סטארט-אפים וחברות גדולות),ניהול פרוייקטים/ PMO,,0-1,12000,גלובלי,,לא,
5/21/2021 11:45:07,בוגר/ת,המרכז האקדמי לב,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",פלנר ,,0-1,14000,גלובלי,קרן השתלמות ,לא,
5/21/2021 11:58:36,בוגר/ת,אוניברסיטת אריאל,חברת יעוץ,הנדסת ארגון ושיטות,,2-4,12500,גלובלי,,לא,
5/21/2021 12:04:19,בוגר/ת,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תכנות: Frontend/Backend/Fullstack, ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Elbit,2-4,22000,גלובלי,משכורת 13,לא,
5/21/2021 12:18:04,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),DevOps &apm engineer ,,2-4,15000,גלובלי,,לא,
5/21/2021 12:32:12,בוגר/ת,בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",רפאל,0-1,12000,גלובלי,"בונוס רבעוני, בונוס ועד, חלוקת רווחים, קרן השתלמות, ביטוח רפואי מקיף כולל שיניים",לא,
5/21/2021 12:40:54,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניהול פרוייקטים/ PMO,תעשייה אוירית,0-1,55,שעתי,"אוכל, ביטוח בריאות, ",לא,
5/21/2021 15:13:30,סטודנט/ית,בראודה,מוסד ממשלתי,משרת סטודנט בקרת פרויקטים,בינוי ושיכון,0-1,3600,שעתי,,לא,
5/21/2021 18:45:22,סטודנט/ית,"או""פ (אוניברסיטה פתוחה)","תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניתוח נתונים - BI/Data analyst, הנדסת ארגון ושיטות",צהל,2-4,5000,שעתי,הכל,לא,
5/22/2021 22:46:37,בוגר/ת,אוניברסיטת אריאל,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,0-1,12500,גלובלי,,כן,
5/25/2021 15:14:34,סטודנט/ית,אוניברסיטת אריאל,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Pandologic,0-1,47,שעתי,,לא,
5/25/2021 23:50:37,בוגר/ת,בן גוריון,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",,0-1,17000,גלובלי,,לא,
6/4/2021 19:13:30,בוגר/ת,מכללת אורט בראודה,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').","תפעול וייצור (תפ""י)",Flex,0-1,9500,שעתי,"קרן השתלמות, בונוסים",לא,
6/13/2021 12:55:18,בוגר/ת,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),"ניהול פרוייקטים/ PMO, הנדסת ארגון ושיטות",,2-4,14500,גלובלי,"קרן השתלמות, אוכל בערך 1000 בחודש",לא,
6/13/2021 12:55:31,סטודנט/ית,מכללת שנקר,מוסדות פיננסים וחברות ביטוח (בנקים וכו'),ניתוח נתונים - BI/Data analyst,G-STAT,0-1,10000,גלובלי,יש קרן השתלמות,לא,
6/13/2021 13:01:02,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,Ebay,0-1,15000,גלובלי,"קרן השתלמות, תן ביס",לא,
6/13/2021 13:15:17,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",FBC,0-1,5000,שעתי,,לא,
6/13/2021 14:06:33,בוגר/ת,מכללת אפקה,הייטק (סטארט-אפים וחברות גדולות),"ניתוח, עיצוב, איפיון והטמעה של מערכות מידע",Kenshoo,0-1,15000,גלובלי,"קרן השתלמות, אופציות",לא,
6/13/2021 14:07:10,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),Noc,Radware,0-1,70,שעתי,יש קרן השתלמות אחרי חצי שנה בחברה,לא,
6/13/2021 21:13:44,סטודנט/ית,מכללת שנקר,הייטק (סטארט-אפים וחברות גדולות),"תפעול וייצור (תפ""י)",,0-1,9500,גלובלי,"משכורת 13, 14 + קרן השתלמות + ביטוח בריאות",לא,
6/14/2021 9:41:45,סטודנט/ית,מכללת שנקר,"תעשייה מסורתית (מפעלי ייצור, תעשייה אווירית/צבאית וכו').",ניתוח נתונים - BI/Data analyst,,0-1,4000,שעתי,חצי משרה,לא,
6/15/2021 16:47:07,בוגר/ת,מכללת שנקר,חברת ecommerce,ניהול פרוייקטים/ PMO,פאנקו,0-1,11000,שעתי,אין,לא,
6/15/2021 23:23:01,בוגר/ת,מכללת סמי שמעון,הייטק (סטארט-אפים וחברות גדולות),ניתוח נתונים - BI/Data analyst,,0-1,14000,גלובלי,,לא,
